學號,10101學籍狀態,10102學籍狀態,10201學籍狀態,10202學籍狀態,10301學籍狀態,10302學籍狀態,10401學籍狀態,10402學籍狀態,10101期中預警科目,10102期中預警科目,10201期中預警科目,10202期中預警科目,10301期中預警科目,10302期中預警科目,10401期中預警科目,10402期中預警科目,10101期中預警學分數,10102期中預警學分數,10201期中預警學分數,10202期中預警學分數,10301期中預警學分數,10302期中預警學分數,10401期中預警學分數,10402期中預警學分數,大一憂鬱篩檢
410076131,正常,休學,休學,休學,休學,正常,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410076132,正常,正常,正常,正常,正常,正常,-,-,-,1.土地法; ,-,-,-,-,-,-,0,2,0,0,0,0,0,0,-
410076133,正常,正常,正常,正常,正常,正常,-,-,1.民法物權編（一）; ,-,1.環境規劃; ,1.災害管理; ,-,-,-,-,2,0,2,2,0,0,0,0,-
410076134,正常,正常,正常,正常,正常,正常,-,-,1.佛學概論; 2.土地經濟學; ,1.民法概要; ,-,-,-,1.土地法; ,-,-,4,3,0,0,0,2,0,0,-
410076135,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410076136,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,1.微積分; ,-,-,0,0,0,0,0,3,0,0,-
410076137,正常,正常,正常,正常,正常,正常,-,-,-,1.民法物權編（二）; ,-,-,1.分區使用管制; ,-,-,-,0,2,0,0,2,0,0,0,-
410076138,正常,正常,正常,正常,正常,正常,-,-,-,1.土地法; ,-,-,1.體育：室內飛輪; ,-,-,-,0,2,0,0,0,0,0,0,-
410080099,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410081056,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410081057,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410081058,正常,正常,正常,正常,正常,正常,正常,正常,-,1.詩選及習作; 2.大學英文; ,-,-,1.社會思想史; ,-,-,-,0,4,0,0,3,0,0,0,-
410082099,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410172092,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.個體經濟學; ,-,-,-,-,1.高級會計學; ,0,0,3,0,0,0,0,3,-
410174201,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410174202,正常,正常,正常,正常,正常,正常,正常,正常,1.大學英文; ,1.社會統計; ,1.社會思想史; ,-,-,-,-,-,2,3,3,0,0,0,0,0,-
410174203,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.社會思想史; ,-,-,-,1.生命歷程研究; ,-,0,0,3,0,0,0,3,0,-
410174204,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410174205,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,1.台灣史（一）; 2.長期照顧; ,-,0,0,0,0,0,0,5,0,-
410174206,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.社會思想史; ,-,-,-,-,-,0,0,3,0,0,0,0,0,-
410174207,正常,正常,正常,正常,正常,正常,正常,正常,-,1.專業英文：商用英文口說訓練; ,1.社會思想史; ,-,1.消費與社會; 2.旅行與社會; ,-,-,1.影像處理導論; ,0,2,3,0,6,0,0,3,-
410174208,正常,正常,正常,正常,正常,正常,正常,正常,-,1.綠色科技與永續發展; 2.社會統計實習; ,1.社會思想史; ,-,-,1.世界音樂與多元文化; ,-,-,0,3,3,0,0,2,0,0,-
410174209,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.社會思想史; ,-,-,1.公共議題之經濟分析; ,-,-,0,0,3,0,0,2,0,0,-
410174210,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.社會思想史; 2.微積分; ,-,1.消費與社會; 2.旅行與社會; ,-,-,-,0,0,6,0,6,0,0,0,-
410174211,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.專業英文：文化與觀光; 2.社會思想史; ,-,-,1.世界音樂與多元文化; ,1.體育：室內飛輪; ,-,0,0,5,0,0,2,0,0,-
